container,destination,pallet_label
ZCSU7568332,CHA2,34
ZCSU7466500,CHA2,29
ZCSU7312696,MCO2,29
TCKU6695138,JAX3,25
EMCU8251400,TMB8,15
ZCSU6651782,MCO2,14
TCNU5357486,TMB8,14
UETU7424640,ZMK845953,13
JXLU6241556,TMB8,13
TCKU6902298,USGA01,13
EMCU8067076,MS 38654,12
JXLU4433610,RYY2,12
CAIU8804178,MCO2,12
CAIU8804178,JAX3,11
TGBU6902559,TMB8,10
GCXU5008521,TMB8,10
CAAU8000921,TPA3,10
FCIU9910022,MGE3,10
ZCSU7351898,JAX3,10
EMCU8082553,TPA3,9
ZCSU7393907,JAX3,8
TRHU5493510,,8
CCLU7308614,CLT3,7
ZCSU7616636,JAX3,7
TGBU6902559,CLT2,7
FDCU0486736,TPA2,6
TGBU6902559,PBI3,6
CAIU8837438,HSV2,6
FCGU1678989,MGE3,6
TGBU7241896,MCO2,6
ZCSU7279875,CLT3,6
CAAU8000921,MCO2,6
ZCSU7294165,TPA3,6
TCAU6078476,GA30122,6
SEGU6197895,JAX3,5
TGBU6882560,LCL2410G0560,5
BEAU6335971,MEM1,5
TIIU6371750,PBI2,5
FFAU2722659,JAX3,4
GCXU5008521,BNA6,4
GCXU5008521,BNA2,4
BEAU6146350,JAX3,4
FFAU3549701,JAX3,4
MOEU1402280,RDU4,4
EMCU8067076,RDU2,4
JXLU6325359,CLT6,4
FSCU8790132,MCO2,4
CCLU7308614,JAX3,4
CSNU7059612,MCO2,4
ZCSU7312696,TPA3,4
ZCSU7294165,CLT3,4
CCLU7308614,GSO1,4
TRHU5493510,MCO2,4
TRHU5493510,MCO1,4
TGBU6882560,PBI3,4
DFSU6787406,JAX3,4
TGBU6902559,RDU4,3
TGBU6882560,JAX3,3
OOCU7294696,JAX3,3
TGBU6882560,BNA6,3
TRHU5493510,MGE3,3
JXLU6241556,RDU4,3
FCIU9910022,MCO2,3
FCIU9910022,JAX3,3
FCIU9483050,JAX3,3
TCLU1871592,JAX3,3
EMCU8739186,MCO2,3
OOCU7294696,CHA2,3
BEAU6146350,CHA2,3
CSNU7059612,MEM1,3
EMCU8067076,FL 33013,3
EGHU9143772,CLT3,3
CAAU8000921,GSP1,3
CAIU4332643,MEM8,3
EMCU8067076,TPA3,3
DFSU6787406,CHA2,3
CAIU8837438,JAX3,3
CSNU8248550,MEM1,3
EMCU8067076,CLT3,3
CAAU8000921,MGE3,3
CAAU8000921,SAV3,2
ZCSU7294165,ATL1,2
ZCSU7084298,CLT3,2
OOCU7294696,MEM1,2
ZCSU7294165,CHA2,2
JXLU6447927,CLT6,2
EGHU9307921,MEM6,2
CAAU8000921,RMN3,2
EGHU9307921,MEM1,2
TGBU6902559,RYY2,2
TCNU5357486,BNA6,1
EMCU8067076,ATL1,2
TCNU5357486,HSV1,2
TCNU5357486,RDU4,2
TEMU8388670,PBI3,2
CSNU8644340,JAX3,2
TGBU6882560,MCO2,2
CSNU7488793,MGE3,2
TGHU9642040,CLT6,2
CSNU7059612,JAX3,2
TGBU7241896,CHA2,2
TGBU6902559,JAX3,2
TGBU6902559,MCO2,2
CSNU7059612,TTN2,2
JXLU6241556,RYY2,2
TEMU8134212,JAX3,2
EMCU8067076,RYY2,2
FFAU2722659,TMB8,2
EMCU8288272,MEM1,2
EMCU8739186,SAV3,2
CAAU8000921,BNA2,2
FCGU1678989,CHA2,2
FCGU1678989,JAX3,2
ZCSU7466500,MDT1,2
EMCU8078105,SAV3,2
EMCU8067076,WBW2,2
FCIU9910022,CLT3,2
EMCU8067076,RMN3,2
FFAU2722659,MEM1,2
EMCU8057421,RMN3,2
CAAU8000921,PBI3,2
FSCU8801237,JAX3,2
ZCSU7294165,HSV1,2
GRHU5493510,ATL1,2
ZCSU7294165,MGE3,2
EMCU8067076,MCO2,2
FSCU8801237,MEM1,2
CCLU7308614,BNA2,1
CCLU7308614,HSV2,1
TRHU5493510,RYY2,1
BSIU8381718,JAX3,1
ZCSU7294165,HSV2,1
ZCSU7294165,MCO1,1
ZCSU7294165,CLT2,1
TGBU7241896,MEM1,1
TRHU5493510,RDU2,1
ZCSU7351898,CLT6,1
CSNU7059612,CHA2,1
